mt,btu,bt,bet,p,ph,rt,asc,ad,e,pt,target
18,0,73,8.6,3.8,6,25,21.23,0.2,24,25,0.03
14,0,51,300.74,0.3318,10,30,0.5,2,24,700,0.037
14,0,63,43.39,0.016,5,25,1,0.2,48,550,0.0372
14,0,64,43.39,0.016,11,25,1,1,48,550,0.0393
14,0,50,390.91,0.6261,10,30,0.5,2,24,700,0.045
14,0,64,43.39,0.016,5,15,1,1,48,550,0.0535
14,0,51,300.74,0.3318,9,30,0.5,2,24,700,0.054
14,0,50,390.91,0.6261,9,30,0.5,2,24,700,0.057
14,0,64,43.39,0.016,5,35,1,1,48,550,0.0849
14,0,50,390.91,0.6261,6,30,0.4,2,24,700,0.086
14,0,49,188.31,0.2918,10,30,0.5,2,24,700,0.094
14,0,51,300.74,0.3318,8,30,0.5,2,24,700,0.095
14,0,23,16,0.081,5.8,20,0.1,2,24,600,0.0964
14,0,64,43.39,0.016,1,25,1,1,48,550,0.0997
14,0,50,390.91,0.6261,8,30,0.5,2,24,700,0.102
14,0,51,300.74,0.3318,6,30,0.4,2,24,700,0.10976
14,0,49,188.31,0.2918,9,30,0.5,2,24,700,0.12
14,0,64,43.39,0.016,5,20,1,1,48,550,0.12
14,0,40,60.67,0.081,7,25,50,8,6,600,0.121
14,0,64,43.39,0.016,9,25,1,1,48,550,0.124
14,0,51,300.74,0.3318,7,30,0.5,2,24,700,0.144
14,0,50,390.91,0.6261,6,30,0.6,2,24,700,0.148
14,0,50,390.91,0.6261,7,30,0.5,2,24,700,0.149
14,0,49,188.31,0.2918,8,30,0.5,2,24,700,0.157
14,0,49,188.31,0.2918,6,30,0.4,2,24,700,0.162
12,0,20,181,0.016,7,25,0.26,1,24,500,0.17
14,0,51,300.74,0.3318,5,30,0.5,2,24,700,0.174
14,0,49,188.31,0.2918,7,30,0.5,2,24,700,0.177
2,0,3,56.64,0.15,6.5,25,0.5,0.2,0.03,180,0.18
14,0,50,390.91,0.6261,6,30,0.5,2,24,700,0.187
14,0,51,300.74,0.3318,6,30,0.5,2,24,700,0.187
14,0,49,188.31,0.2918,6,30,0.5,2,24,700,0.192
14,0,64,43.39,0.016,5,25,1,0.5,48,550,0.193
14,0,50,390.91,0.6261,4,30,0.5,2,24,700,0.194
14,0,48,188.31,0.2918,4,30,0.5,2,24,700,0.196
14,0,51,300.74,0.3318,4,30,0.5,2,24,700,0.202
14,0,50,390.91,0.6261,5,30,0.5,2,24,700,0.207
14,0,49,188.31,0.2918,5,30,0.5,2,24,700,0.208
14,0,64,43.39,0.016,5,30,1,1,48,550,0.211
14,0,51,300.74,0.3318,6,30,0.6,2,24,700,0.21414
12,0,21,185,0.016,7,25,0.26,1,24,500,0.22
14,0,64,43.39,0.016,5,25,1,1,48,550,0.245
14,0,49,188.31,0.2918,6,30,0.6,2,24,700,0.247
14,0,23,16,0.081,5.8,20,0.5,2,24,600,0.275
14,0,64,43.39,0.016,5,25,1,1,2.09,550,0.29
14,0,64,43.39,0.016,5,25,1,0.8,48,550,0.297
14,0,52,9.62,0.3318,4.7,25,0.911,1,0.072,800,0.299
14,0,64,43.39,0.016,3,25,1,1,48,550,0.299
9,0,17,147.82,0.058,6.5,25,0.57,1,1,130,0.3
12,0,20,181,0.016,7,25,0.49,1,24,500,0.32
14,0,50,390.91,0.6261,6,30,1,2,24,700,0.35
14,0,64,43.39,0.016,5,25,1,1,4.18,550,0.355
14,0,39,30.89,0.081,7,25,50,6,6,600,0.364
14,0,51,300.74,0.3318,6,30,1,2,24,700,0.3956
14,0,45,71,0.11,7,25,1,2,2,700,0.405
14,0,64,43.39,0.016,5,25,1,1,8.14,550,0.411
14,0,55,9.62,0.3318,4.7,25,0.911,1,0.072,800,0.416
14,0,64,43.39,0.016,7,25,1,1,48,550,0.417
14,0,54,9.62,0.3318,4.7,25,0.911,1,0.072,800,0.426
12,0,21,185,0.016,7,25,0.51,1,24,500,0.43
14,0,53,9.62,0.3318,4.7,25,0.911,1,0.23,800,0.43
14,0,57,9.62,0.3318,4.7,25,0.911,1,0.072,800,0.433
14,0,49,188.31,0.2918,6,30,1,2,24,700,0.436
14,0,64,43.39,0.016,5,25,1,1,48,550,0.443
1,0,1,87.51,0.09,6.5,50,0.12,1,1,25,0.45
14,0,56,9.62,0.3318,4.7,25,0.911,1,0.072,800,0.452
14,0,68,320.1,0.139,7,20,0.0991,2,1,650,0.463
9,0,17,147.82,0.058,6.5,25,1.36,1,1,130,0.47
14,0,64,43.39,0.016,5,25,1,1,12.1,550,0.47
14,0,64,43.39,0.016,5,25,1,1,48,550,0.471
14,0,53,9.62,0.3318,4.7,25,0.911,1,0.445,800,0.519
9,0,17,147.82,0.058,6.5,25,1.01,1,1,130,0.53
14,0,64,43.39,0.016,5,25,1,1,24.1,550,0.538
18,0,73,8.6,3.8,6,25,28.43,0.2,24,25,0.54
14,0,54,9.62,0.3318,4.7,25,0.911,1,0.23,800,0.557
14,0,53,9.62,0.3318,4.7,25,0.911,1,0.89,800,0.569
1,0,1,87.51,0.09,6.5,70,0.08,1,1,25,0.57
14,0,55,9.62,0.3318,4.7,25,0.911,1,0.23,800,0.574
14,0,64,43.39,0.016,5,25,1,1,30.1,550,0.58
9,0,17,147.82,0.058,6.5,25,2.03,1,1,130,0.6
14,0,56,9.62,0.3318,4.7,25,0.911,1,0.23,800,0.603
12,0,20,181,0.016,7,25,1.01,1,24,500,0.61
12,0,21,185,0.016,7,25,1.01,1,24,500,0.62
14,0,53,9.62,0.3318,4.7,25,0.911,1,1.78,800,0.622
14,0,64,43.39,0.016,5,25,1,1,36.2,550,0.637
14,0,64,43.39,0.016,5,25,1,1,48.1,550,0.642
14,0,34,20.1,0.016,10,26.85,2.779,4,0.5,300,0.643
14,0,54,9.62,0.3318,4.7,25,0.911,1,0.445,800,0.646
14,0,53,9.62,0.3318,4.7,25,0.911,1,3.56,800,0.653
14,0,58,9.62,0.3318,4.7,25,0.911,1,0.23,800,0.653
14,0,34,20.1,0.016,8,26.85,2.779,4,0.5,300,0.669
14,0,55,9.62,0.3318,4.7,25,0.911,1,0.445,800,0.669
14,0,53,9.62,0.3318,4.7,25,0.911,1,6.24,800,0.672
12,0,20,181,0.016,7,25,2,1,24,500,0.68
14,0,56,9.62,0.3318,4.7,25,0.911,1,0.445,800,0.705
14,0,54,9.62,0.3318,4.7,25,0.911,1,0.89,800,0.734
14,0,46,71,0.11,10,25,10,2,2,700,0.748
14,0,55,9.62,0.3318,4.7,25,0.911,1,0.89,800,0.765
14,0,58,9.62,0.3318,4.7,25,0.911,1,0.445,800,0.782
12,0,21,185,0.016,7,25,2.01,1,24,500,0.79
14,0,56,9.62,0.3318,4.7,25,0.911,1,0.89,800,0.791
14,0,33,208,0.144,5,25,3.33,1,24,620,0.801
14,0,68,320.1,0.139,7,20,0.36,2,1,650,0.805
14,0,54,9.62,0.3318,4.7,25,0.911,1,1.78,800,0.82
14,0,32,208,0.144,2,25,3.4,1,24,620,0.821
14,0,51,300.74,0.3318,6,30,2,2,24,700,0.8249
14,0,33,208,0.144,4,25,3.21,1,24,620,0.842
14,0,33,208,0.144,6,25,3.33,1,24,620,0.842
14,0,55,9.62,0.3318,4.7,25,0.911,1,1.78,800,0.851
14,0,58,9.62,0.3318,4.7,25,0.911,1,0.89,800,0.854
3,0,4,114,0.56,7,25,0.3,0.14,1.737571429,90,0.86
14,0,56,9.62,0.3318,4.7,25,0.911,1,1.78,800,0.868
14,0,55,9.62,0.3318,4.7,25,0.911,1,3.56,800,0.878
14,0,58,9.62,0.3318,4.7,25,0.911,1,1.78,800,0.878
14,0,54,9.62,0.3318,4.7,25,0.911,1,3.56,800,0.88
14,0,58,9.62,0.3318,4.7,25,0.911,1,3.56,800,0.88
14,0,54,9.62,0.3318,4.7,25,0.911,1,6.24,800,0.882
14,0,55,9.62,0.3318,4.7,25,0.911,1,6.24,800,0.882
14,0,56,9.62,0.3318,4.7,25,0.911,1,3.56,800,0.882
14,0,33,208,0.144,3,25,2.84,1,24,620,0.883
14,0,56,9.62,0.3318,4.7,25,0.911,1,6.24,800,0.885
14,0,58,9.62,0.3318,4.7,25,0.911,1,6.24,800,0.885
1,0,1,87.51,0.09,6.5,25,0.17,1,1,25,0.89
12,0,20,181,0.016,7,25,5.01,1,24,500,0.89
14,0,50,390.91,0.6261,6,30,2,2,24,700,0.892
19,0,74,63.6,0.381,6.8,25,0.01,1,24,60,0.9
14,0,24,20.1,0.1,7.1,21.5,0.12,1,48,900,0.902
9,0,17,147.82,0.058,6.5,25,4.09,1,1,130,0.93
14,0,49,188.31,0.2918,6,30,2,2,24,700,0.946
14,0,23,16,0.081,5.8,20,2,2,24,600,1.002
14,0,40,60.67,0.081,7,25,50,8,6,600,1.0313
14,0,67,320.1,0.139,7,25,5,2,0.0668,650,1.0365
14,0,25,20.1,0.1,7.1,21.5,25,1,0.076,900,1.04
12,0,21,185,0.016,7,25,4.99,1,24,500,1.1
14,0,68,320.1,0.139,7,25,5,2,0.468,650,1.118
14,0,68,320.1,0.139,7,25,5,2,0.234,650,1.16825
14,0,46,71,0.11,7,25,5,2,2,700,1.208
15,1,71,41.87,0.43,6.5,25,0.21,0.2,1,180,1.21
18,0,73,8.6,3.8,6,25,37.02,0.2,24,25,1.24
14,0,51,300.74,0.3318,6,30,3,2,24,700,1.2474
14,0,68,320.1,0.139,7,25,5,2,4.631,650,1.27525
14,0,68,320.1,0.139,7,25,5,2,5.544,650,1.294
14,0,68,320.1,0.139,7,25,5,2,0.935,650,1.319
14,0,68,320.1,0.139,7,25,5,2,2.772,650,1.36925
9,0,17,147.82,0.058,6.5,25,7.89,1,1,130,1.38
14,0,33,208,0.144,2,25,5.19,1,24,620,1.38
14,0,68,320.1,0.139,7,25,0.225,2,1,650,1.39
14,0,50,390.91,0.6261,6,30,3,2,24,700,1.404
14,0,68,320.1,0.139,7,25,5,2,1.848,650,1.407
14,0,68,320.1,0.139,7,25,5,2,3.685,650,1.407
14,0,68,320.1,0.139,7,25,5,2,1.38,650,1.44475
14,0,49,188.31,0.2918,6,30,3,2,24,700,1.445
14,0,38,29.32,0.081,7,25,50,4,6,600,1.463
2,0,3,56.64,0.15,6.5,25,0.5,0.2,0.083,180,1.47
14,0,33,208,0.144,5,25,4.44,1,24,620,1.54
17,0,20,63.6,0.381,9,25,5.29,20,24,25,1.57
14,0,33,208,0.144,4,25,4.2,1,24,620,1.6
14,0,33,208,0.144,6,25,4.38,1,24,620,1.6
14,0,68,320.1,0.139,7,25,10,2,0.0668,650,1.608
14,0,68,320.1,0.139,7,25,0.369,2,1,650,1.622
14,0,23,16,0.081,5.8,20,5,2,24,600,1.669
14,0,40,60.67,0.081,7,25,50,8,6,600,1.713
14,0,33,208,0.144,3,25,3.64,1,24,620,1.72
19,0,74,63.6,0.381,6.8,25,0.02,1,24,60,1.74
14,0,46,71,0.11,7,25,10,2,2,700,1.744
14,0,46,71,0.11,4,25,10,2,2,700,1.801
2,0,3,56.64,0.15,6.5,25,0.5,0.2,0.17,180,1.82
17,0,20,63.6,0.381,9,25,6.55,20,24,25,1.89
14,0,46,71,0.11,7,25,10,2,2,700,1.892
14,0,27,20.1,0.1,7.1,21.5,25,1,0.076,900,1.93
14,0,23,16,0.081,5.8,20,10,2,24,600,1.951
14,1,28,3.2,0.01,7,20,1.21,1,2,300,1.96
14,1,28,3.2,0.01,7,20,1.21,1,2,300,1.96
0,0,0,4.68,0.071,10,25,10,2,24,60,1.98
14,0,68,320.1,0.139,7,20,1.306,2,1,650,1.988
18,0,73,8.6,3.8,6,25,45.83,0.2,24,25,2.02
14,0,23,16,0.081,5.8,20,25,2,24,600,2.077
14,0,40,60.67,0.081,7,25,50,8,6,600,2.094
2,0,3,56.64,0.15,6.5,25,1,0.2,0.03,180,2.1
14,0,23,16,0.081,5.8,20,50,2,24,600,2.107
9,0,17,147.82,0.058,6.5,25,11.12,1,1,130,2.12
14,0,39,30.89,0.081,7,25,50,6,6,600,2.208
2,0,3,56.64,0.15,6.5,25,0.5,0.2,0.33,180,2.22
14,0,68,320.1,0.139,7,25,10,2,0.234,650,2.236
14,0,40,60.67,0.081,7,25,50,8,6,600,2.244
14,0,68,320.1,0.139,7,40,0.351,2,1,650,2.28
17,0,20,63.6,0.381,9,25,7.86,20,24,25,2.28
2,0,3,56.64,0.15,6.5,25,0.5,0.2,0.5,180,2.32
7,0,13,18.1,0.058,2,25,3.95,0.4,4,110,2.32
2,0,3,56.64,0.15,6.5,25,0.5,0.2,0.67,180,2.36
14,0,68,320.1,0.139,7,25,10,2,1.38,650,2.362
14,0,68,320.1,0.139,7,25,10,2,0.468,650,2.3745
14,1,29,3.2,0.01,7,20,1.81,1,2,300,2.39
14,1,29,3.2,0.01,7,20,1.81,1,2,300,2.39
14,1,59,3.1,0.01,0.95,20,5,0.6,2,70,2.403
14,0,68,320.1,0.139,7,25,10,2,3.685,650,2.412
14,0,68,320.1,0.139,7,25,10,2,2.772,650,2.437
14,0,68,320.1,0.139,7,25,10,2,1.848,650,2.4495
15,1,71,41.87,0.43,6.5,25,0.06,0.2,1,180,2.45
14,0,68,320.1,0.139,7,25,10,2,4.631,650,2.4625
14,1,30,473.4,0.1,7,20,0.67,1,2,700,2.47
14,1,30,473.4,0.1,7,20,0.67,1,2,700,2.47
14,0,33,208,0.144,2,25,9.38,1,24,620,2.48
14,0,68,320.1,0.139,7,20,2.135,2,1,650,2.5
14,0,68,320.1,0.139,7,25,0.73,2,1,650,2.515
14,0,68,320.1,0.139,7,25,10,2,5.544,650,2.5505
6,0,7,7.5,0.058,2,25,4.09,0.4,4,110,2.57
9,0,17,147.82,0.058,6.5,25,17.04,1,1,130,2.57
14,1,60,3.1,0.01,7.2,20,5,0.6,0.42,70,2.611
14,0,68,320.1,0.139,7,25,10,2,0.935,650,2.638
0,0,0,4.68,0.071,9,25,10,2,24,60,2.65
14,1,29,3.2,0.01,7,20,2.39,1,2,300,2.67
14,1,29,3.2,0.01,7,20,2.39,1,2,300,2.67
3,0,4,114,0.56,7,25,0.06,0.14,1.737571429,90,2.69
18,0,73,8.6,3.8,6,25,55.61,0.2,24,25,2.69
7,0,11,7.5,0.058,2,25,3.95,0.4,4,110,2.7
7,0,14,20,0.058,2,25,4.14,0.4,4,110,2.7
14,1,31,473.4,0.1,7,20,1.47,1,2,700,2.7
14,1,31,473.4,0.1,7,20,1.47,1,2,700,2.7
13,0,22,27.04,0.016,7,45,0.75,0.2,2,500,2.77
17,0,20,63.6,0.381,9,25,9.74,20,24,25,2.77
14,0,68,320.1,0.139,7,20,2.721,2,1,650,2.78
19,0,74,63.6,0.381,6.8,25,0.03,1,24,60,2.84
14,1,29,3.2,0.01,7,20,3.39,1,2,300,2.85
14,1,29,3.2,0.01,7,20,3.39,1,2,300,2.85
6,0,8,11.2,0.058,2,25,4.09,0.4,4,110,2.88
14,1,31,473.4,0.1,7,20,2.28,1,2,700,2.94
14,0,33,208,0.144,5,25,7.28,1,24,620,2.94
14,1,31,473.4,0.1,7,20,2.28,1,2,700,2.94
14,1,29,3.2,0.01,7,20,4.33,1,2,300,2.95
14,1,29,3.2,0.01,7,20,4.33,1,2,300,2.95
14,1,60,3.1,0.01,9.58,20,5,0.6,2,70,2.958
13,0,22,27.04,0.016,7,30,0.55,0.2,2,500,2.96
2,0,3,56.64,0.15,6.5,25,1,0.2,0.083,180,2.98
14,0,33,208,0.144,6,25,7.28,1,24,620,2.98
14,0,68,320.1,0.139,7,20,3.523,2,1,650,3.012
14,1,60,3.1,0.01,2.11,20,5,0.6,2,70,3.014
14,1,31,473.4,0.1,7,20,3.01,1,2,700,3.02
14,0,33,208,0.144,4,25,7.04,1,24,620,3.02
14,1,31,473.4,0.1,7,20,3.01,1,2,700,3.02
14,0,68,320.1,0.139,7,25,0.982,2,1,650,3.024
14,0,68,320.1,0.139,7,20,3.846,2,1,650,3.073
14,0,68,320.1,0.139,7,20,4.189,2,1,650,3.085
7,0,12,13.8,0.058,2,25,4.01,0.4,4,110,3.11
6,0,9,13.4,0.058,2,25,4.09,0.4,4,110,3.14
14,1,31,473.4,0.1,7,20,4.11,1,2,700,3.16
14,1,31,473.4,0.1,7,20,4.11,1,2,700,3.16
14,1,60,3.1,0.01,3.31,20,5,0.6,2,70,3.181
14,1,62,3.92,0.01,7.2,20,5,0.6,0.42,450,3.238
0,0,0,4.68,0.071,8,25,10,2,24,60,3.25
14,1,60,3.1,0.01,8.27,20,5,0.6,2,70,3.25
17,0,20,63.6,0.381,9,25,11.96,20,24,25,3.28
18,0,73,8.6,3.8,6,25,65.81,0.2,24,25,3.28
14,0,33,208,0.144,3,25,5.62,1,24,620,3.3
9,0,17,147.82,0.058,6.5,25,19.58,1,1,130,3.32
14,1,61,3.92,0.01,0.95,20,5,0.6,2,450,3.458
14,0,33,208,0.144,2,25,14.1,1,24,620,3.47
14,1,60,3.1,0.01,4.75,20,5,0.6,2,70,3.472
2,0,3,56.64,0.15,6.5,25,1,0.2,0.17,180,3.52
14,0,68,320.1,0.139,7,40,0.712,2,1,650,3.573
17,0,20,63.6,0.381,9,25,13.22,20,24,25,3.58
0,0,0,4.68,0.071,7,25,10,2,24,60,3.6
6,0,10,9.6,0.058,2,25,3.96,0.4,4,110,3.61
14,0,39,30.89,0.081,7,25,50,6,6,600,3.617
13,0,22,27.04,0.016,7,60,0.19,0.2,2,500,3.64
14,1,60,3.1,0.01,7.24,20,5,0.6,2,70,3.653
14,0,25,20.1,0.1,7.1,21.5,1.22,1,48,900,3.66
14,0,27,20.1,0.1,7.1,21.5,25,1,4.02,900,3.76
14,0,68,320.1,0.139,7,25,1.721,2,1,650,3.768
14,1,60,3.1,0.01,5.86,20,5,0.6,2,70,3.819
14,1,62,3.92,0.01,9.58,20,5,0.6,2,450,3.819
0,0,0,4.68,0.071,2,25,10,2,24,60,3.82
0,0,0,4.68,0.071,6,25,10,2,24,60,3.82
3,0,4,114,0.56,7,25,0.09,0.14,1.737571429,90,3.87
14,1,62,3.92,0.01,2.11,20,5,0.6,2,450,3.875
9,0,17,147.82,0.058,6.5,25,23.79,1,1,130,3.88
2,0,3,56.64,0.15,6.5,25,1,0.2,0.33,180,3.92
14,0,38,29.32,0.081,7,25,50,4,6,600,3.938
15,1,71,41.87,0.43,6.5,25,0.06,0.2,1,180,3.97
18,0,73,8.6,3.8,6,25,76.01,0.2,24,25,4.01
14,1,62,3.92,0.01,3.31,20,5,0.6,2,450,4.028
14,0,68,320.1,0.139,7,40,0.73,2,1,650,4.049
14,1,62,3.92,0.01,8.27,20,5,0.6,2,450,4.056
14,0,33,208,0.144,5,25,11.2,1,24,620,4.09
14,0,33,208,0.144,6,25,11.2,1,24,620,4.11
1,0,1,87.51,0.09,6.5,25,0.8,1,1,25,4.12
1,0,1,87.51,0.09,6.5,50,0.71,1,1,25,4.12
0,0,0,4.68,0.071,5,25,10,2,24,60,4.13
16,0,72,63.6,0.381,6,25,0.22,0.2,24,25,4.13
14,0,33,208,0.144,4,25,11,1,24,620,4.15
13,0,22,27.04,0.016,7,45,2.34,1,2,500,4.16
17,0,20,63.6,0.381,9,25,16.86,20,24,25,4.16
2,0,3,56.64,0.15,6.5,25,1,0.2,0.5,180,4.2
14,1,62,3.92,0.01,7.2,20,5,0.6,0.998,450,4.217
0,0,0,4.68,0.071,4,25,10,2,24,60,4.22
14,0,68,320.1,0.139,7,25,2.387,2,1,650,4.22
14,1,62,3.92,0.01,7.24,20,5,0.6,2,450,4.236
14,1,60,3.1,0.01,7.2,20,5,0.6,0.998,70,4.242
13,0,22,27.04,0.016,7,30,2.27,1,2,500,4.25
14,0,68,320.1,0.139,7,25,3.279,2,1,650,4.256
7,0,13,18.1,0.058,2,25,12.18,0.4,4,110,4.26
14,1,62,3.92,0.01,4.75,20,5,0.6,2,450,4.264
14,0,68,320.1,0.139,7,25,4.595,2,1,650,4.268
14,0,33,208,0.144,2,25,19.6,1,24,620,4.29
14,0,39,30.89,0.081,7,25,50,6,6,600,4.292
14,0,68,320.1,0.139,7,40,0.982,2,1,650,4.39
14,0,68,320.1,0.139,7,40,4.685,2,1,650,4.402
14,0,51,300.74,0.3318,6,30,10,2,24,700,4.411
14,0,37,27.67,0.081,7,25,50,2,6,600,4.425
1,0,1,87.51,0.09,6.5,70,0.58,1,1,25,4.45
14,1,62,3.92,0.01,5.86,20,5,0.6,2,450,4.486
2,0,3,56.64,0.15,6.5,25,1,0.2,0.67,180,4.5
14,0,68,320.1,0.139,7,40,1.793,2,1,650,4.537
18,0,73,8.6,3.8,6,25,84.59,0.2,24,25,4.55
14,0,33,208,0.144,3,25,8.95,1,24,620,4.56
7,0,14,20,0.058,2,25,12.05,0.4,4,110,4.57
14,0,68,320.1,0.139,7,40,2.414,2,1,650,4.573
14,1,60,3.1,0.01,7.2,20,5,0.6,5.042,70,4.593
14,0,25,20.1,0.1,7.1,21.5,5.3,1,48,900,4.61
14,0,68,320.1,0.139,7,40,3.18,2,1,650,4.61
14,1,60,3.1,0.01,7.2,20,5,0.6,23.95,70,4.618
2,0,3,56.64,0.15,6.5,25,1,0.2,1,180,4.64
14,1,60,3.1,0.01,7.2,20,5,0.6,17.96,70,4.643
14,1,60,3.1,0.01,7.2,20,5,0.6,1.996,70,4.668
14,0,26,20.1,0.1,7.1,21.5,0.18,1,48,900,4.7
14,0,33,208,0.144,2,25,26.8,1,24,620,4.72
2,0,3,56.64,0.15,6.5,25,1,0.2,1.33,180,4.76
19,0,74,63.6,0.381,6.8,25,0.04,1,24,60,4.77
2,0,3,56.64,0.15,6.5,25,1,0.2,1.67,180,4.78
14,1,60,3.1,0.01,7.2,20,5,0.6,7.983,70,4.794
14,1,60,3.1,0.01,7.2,20,5,0.6,11.97,70,4.819
14,0,50,390.91,0.6261,6,30,10,2,24,700,4.832
14,0,27,20.1,0.1,7.1,21.5,25,1,24.2,900,4.85
14,0,39,30.89,0.081,7,25,50,6,6,600,4.858
13,0,22,27.04,0.016,7,45,4.37,1,2,500,4.88
14,0,49,188.31,0.2918,6,30,10,2,24,700,4.882
18,0,73,8.6,3.8,6,25,92.21,0.2,24,25,4.94
17,0,20,317.07,0.381,9,25,20.5,20,24,25,4.95
14,0,33,208,0.144,6,25,16.4,1,24,620,4.97
3,0,4,114,0.56,7,25,0.13,0.14,1.737571429,90,5.08
14,0,65,516.67,0.2433,7,25,40,2,0.181,700,5.105
14,0,33,208,0.144,5,25,15.8,1,24,620,5.11
14,1,62,3.92,0.01,7.2,20,5,0.6,1.996,450,5.146
